county,state,msa,pmsa,popdensity,pop,popchange,age6574,age75,crime,college,income,farm,democrat,republican,Perot,white,black,turnout
Sebastian,AR,2720,,189,99590,6.5,7.800000191,6.199999809,7193,14.60000038,29066,0.899999976,41.79999924,42.40000153,15.19999981,89.08424377,5.689326286,39.82226944
Sevier,AR,,,25,13637,1.399999976,8.800000191,7.599999905,3627,7.199999809,23287,4.5,51,31.79999924,12.80000019,88.58986664,5.771063805,36.74561691
Sharp,AR,,,25,14109,1.799999952,15.5,11.60000038,1152,8.699999809,19851,4.400000095,52.29999924,34.5,12.80000019,98.57537842,0.467786521,51.0029068
Stone,AR,,,17,9775,12.5,10.10000038,7.300000191,639,9.399999619,18825,9.100000381,52,33.20000076,13.80000019,99.0997467,0.081841432,51.54987335
Union,AR,,,45,46719,-4.300000191,9,7.599999905,4478,12.69999981,26007,0.899999976,47.29999924,39.29999924,10.30000019,69.38076782,30.09696198,39.76968765
Van Buren,AR,,,20,14008,6.599999905,15.10000038,8.699999809,2144,10.5,20776,5.5,51.90000153,35.5,12.10000038,98.83638,0.29268989,52.54854202
Washington,AR,2580,,126,113409,19.60000038,6.300000191,4.900000095,5350,20,28270,3.900000095,46,42.40000153,11.10000038,95.88568878,1.477836847,42.21887207
White,AR,,,55,54676,11.60000038,8.100000381,6.599999905,3567,10.89999962,23562,3.099999905,48.70000076,39.59999847,11,96.03665161,3.114712238,39.43777847
Woodruff,AR,,,16,9520,-18,9.300000191,8.300000191,770,7.5,18149,2.299999952,74.09999847,19.29999924,6.5,68.29831696,31.41806793,36.71218491
Yell,AR,,,19,17759,5.900000095,9.300000191,7.199999809,2551,7.400000095,22803,6.099999905,54.5,32.79999924,12.30000019,96.69463348,2.089081526,43.03733444
Alameda,CA,7362,5775,1773,1279182,18.29999924,6.199999809,4.400000095,8220,28.79999924,45037,0,63,20.60000038,15.39999962,59.55485535,17.92153168,41.44406509
Alpine,CA,,,2,1113,4.199999809,4.300000191,3.200000048,7130,24,29276,0,34.09999847,35.20000076,29.5,72.41689301,0.53908354,56.69362259
Amador,CA,,,54,30039,65,10.89999962,6.699999809,2588,14,35062,1.399999976,34.20000076,35.5,29.5,89.53028107,5.599387646,51.37987137
Butte,CA,1620,,115,182120,31,10.10000038,7.199999809,4808,19.5,28314,1.5,38.20000076,37.20000076,23.79999924,90.70941925,1.296397924,46.68021011
Calaveras,CA,,,35,31998,70.80000305,11.60000038,6.099999905,3313,14.39999962,32211,1.299999952,35.20000076,35.29999924,28.5,95.65910339,0.57503593,53.10019302
Colusa,CA,,,15,16275,31.60000038,7.800000191,5.099999905,4184,11.10000038,28230,7.699999809,31.89999962,45.90000153,21.39999962,76.44853973,0.589861751,34.62365723
Contra Costa,CA,7362,5775,1167,803732,28.10000038,6.599999905,4.300000191,6246,31.60000038,51651,0.100000001,50.90000153,29.5,18.89999962,76.02073669,9.278839111,47.63067627
Del Norte,CA,,,29,23460,58.5,8,4.900000095,4009,10,26992,0.699999988,38.90000153,33,27.5,86.14662933,3.657289028,39.86785889
El Dorado,CA,6922,6920,81,125995,61,7.699999809,4.099999905,4006,20.79999924,39823,0.899999976,32.40000153,39.90000153,27,94.54184723,0.480971456,51.49966431
Fresno,CA,2840,,118,667490,37.09999847,6.099999905,4.300000191,9100,16.89999962,29970,2.799999952,42.20000076,40.70000076,16.60000038,63.34761429,5.007266045,32.83359909
Glenn,CA,,,19,24798,19.5,8,6,3417,9.399999619,27216,10.10000038,30.20000076,43.20000076,25.79999924,85.39398193,0.552463889,35.55125427
Humboldt,CA,,,34,119118,12.39999962,7.199999809,5.099999905,4718,20,30357,0.800000012,48.09999847,30.5,20.60000038,90.5664978,0.805923522,50.38785172
Imperial,CA,,,31,109303,40,6.5,3.700000048,7208,9.699999809,25147,0.899999976,43.90000153,38.5,16.79999924,67.34947968,2.398836374,23.16313362
Inyo,CA,,,2,18281,2.700000048,10.69999981,7.800000191,3735,13.5,30460,0.800000012,31.79999924,43.59999847,23.60000038,86.30271912,0.432142675,46.29943848
Kern,CA,680,,72,543477,45.79999924,5.900000095,3.799999952,6561,13.30000019,31714,0.600000024,33.79999924,45.09999847,20.60000038,69.64029694,5.544116974,32.98447037
Kings,CA,,,77,101469,45.59999847,4.599999905,3.099999905,4295,9,27614,2.599999905,38.90000153,41.59999847,19.10000038,64.22257233,8.123662949,25.27964211
Lake,CA,,,43,50631,47.90000153,13.89999962,8.699999809,5241,10.69999981,26563,1.600000024,45.40000153,28.79999924,25,91.81331635,1.842744589,45.84740448
Lassen,CA,,,6,27598,29.70000076,6.5,3.799999952,2158,11.69999981,31803,3.5,32.70000076,37,29,87.74186707,6.228712082,37.5461998
